:START_ID(Ingredient),:END_ID(Effect),type,evidence_type,graph_score:float,paper_count:int
CYAMOPSIS TETRAGONOLOBA SYMBIOSOME EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
CYAMOPSIS TETRAGONOLOBA SYMBIOSOME EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
CYAMOPSIS TETRAGONOLOBA SYMBIOSOME EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CYAMOPSIS TETRAGONOLOBA SYMBIOSOME EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
SOLANUM MELONGENA ROOT EXTRACT,HYDRATING,improves,cosing_function,0.0,0
SOLANUM MELONGENA ROOT EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
HEXAPEPTIDE-11,HYDRATING,improves,cosing_function,0.0,0
HEXAPEPTIDE-11,BARRIER_REPAIR,improves,cosing_function,0.0,0
HYDROLYZED GARDENIA FLORIDA EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
HYDROLYZED GARDENIA FLORIDA EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
ZINGIBER AROMATICUS EXTRACT,HYDRATING,improves,cosing_function,0.0,0
ZINGIBER AROMATICUS EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
PAEONIA SUFFRUTICOSA BRANCH/FLOWER/LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
PAEONIA SUFFRUTICOSA BRANCH/FLOWER/LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
GLYCERETH-12,HYDRATING,improves,cosing_function,0.0,0
GLYCERETH-12,MOISTURE_RETENTION,improves,cosing_function,0.0,0
ROSA HYBRID CALLUS CULTURE EXTRACT,HYDRATING,improves,cosing_function,0.0,0
ROSA HYBRID CALLUS CULTURE EXTRACT,MOISTURE_RETENTION,improves,cosing_function,0.0,0
SERICA POWDER,HYDRATING,improves,cosing_function,0.0,0
SERICA POWDER,BARRIER_REPAIR,improves,cosing_function,0.0,0
QUERCUS ROBUR BUD EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
QUERCUS ROBUR BUD EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
QUERCUS ROBUR BUD EXTRACT,HYDRATING,improves,cosing_function,0.0,0
QUERCUS ROBUR BUD EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
CAMELLIA JAPONICA SEED EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CAMELLIA JAPONICA SEED EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
SODIUM SULFATED HYALURONATE,HYDRATING,improves,cosing_function,0.0,0
SODIUM SULFATED HYALURONATE,BARRIER_REPAIR,improves,cosing_function,0.0,0
EQUISETUM ARVENSE LEAF POWDER,HYDRATING,improves,cosing_function,0.0,0
EQUISETUM ARVENSE LEAF POWDER,BARRIER_REPAIR,improves,cosing_function,0.0,0
PANAX GINSENG HAIRY ROOT EXTRACT,HYDRATING,improves,cosing_function,0.0,0
PANAX GINSENG HAIRY ROOT EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
CUCUMIS MELO SEED EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CUCUMIS MELO SEED EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
VANILLA PLANIFOLIA LEAF CELL EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
VANILLA PLANIFOLIA LEAF CELL EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
VANILLA PLANIFOLIA LEAF CELL EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
VANILLA PLANIFOLIA LEAF CELL EXTRACT,SOOTHING,improves,cosing_function,0.0,0
TRIFOLIUM PRATENSE EXTRACT,HYDRATING,improves,cosing_function,0.0,0
TRIFOLIUM PRATENSE EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
PAULOWNIA TOMENTOSA LEAF EXTRACT,SEBUM_REGULATION,reduces,cosing_function,0.0,0
PAULOWNIA TOMENTOSA LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
PAULOWNIA TOMENTOSA LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
PAULOWNIA TOMENTOSA LEAF EXTRACT,SOOTHING,reduces,cosing_function,0.0,0
PAULOWNIA TOMENTOSA LEAF EXTRACT,ANTI_INFLAMMATORY,reduces,cosing_function,0.0,0
SAMBUCUS NIGRA BUD EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
SAMBUCUS NIGRA BUD EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
HALLOYSITE,SEBUM_REGULATION,reduces,cosing_function,0.0,0
BORAGO OFFICINALIS EXTRACT,HYDRATING,improves,cosing_function,0.0,0
BORAGO OFFICINALIS EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
LITHOSPERMUM ERYTHRORHIZON ROOT,HYDRATING,improves,cosing_function,0.0,0
LITHOSPERMUM ERYTHRORHIZON ROOT,BARRIER_REPAIR,improves,cosing_function,0.0,0
TETRAHYDROBISDEMETHOXYDIFERULOYLMETHANE,ANTIOXIDANT,improves,cosing_function,0.0,0
TETRAHYDROBISDEMETHOXYDIFERULOYLMETHANE,ANTI_AGING,improves,cosing_function,0.0,0
TETRAHYDROBISDEMETHOXYDIFERULOYLMETHANE,HYDRATING,improves,cosing_function,0.0,0
TETRAHYDROBISDEMETHOXYDIFERULOYLMETHANE,BARRIER_REPAIR,improves,cosing_function,0.0,0
GARCINIA MANGOSTANA BARK EXTRACT,HYDRATING,improves,cosing_function,0.0,0
GARCINIA MANGOSTANA BARK EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ALPINIA GALANGA EXTRACT,HYDRATING,improves,cosing_function,0.0,0
ALPINIA GALANGA EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
CASTANEA CRENATA PELLICLE EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
CASTANEA CRENATA PELLICLE EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
CASTANEA CRENATA PELLICLE EXTRACT,SEBUM_REGULATION,reduces,cosing_function,0.0,0
POLYQUATERNIUM-63,HYDRATING,improves,cosing_function,0.0,0
POLYQUATERNIUM-63,BARRIER_REPAIR,improves,cosing_function,0.0,0
SODIUM OLEOYL HYALURONATE,HYDRATING,improves,cosing_function,0.0,0
SODIUM OLEOYL HYALURONATE,BARRIER_REPAIR,improves,cosing_function,0.0,0
TOCOPHERYL GLUCOSIDE,HYDRATING,improves,cosing_function,0.0,0
TOCOPHERYL GLUCOSIDE,BARRIER_REPAIR,improves,cosing_function,0.0,0
CUCURBITA MAXIMA FRUIT EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CUCURBITA MAXIMA FRUIT EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
PHASEOLUS VULGARIS EXTRACT,SEBUM_REGULATION,reduces,cosing_function,0.0,0
PHASEOLUS VULGARIS EXTRACT,HYDRATING,improves,cosing_function,0.0,0
PHASEOLUS VULGARIS EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
SACCHAROMYCES/MALACHITE FERMENT,HYDRATING,improves,cosing_function,0.0,0
SACCHAROMYCES/MALACHITE FERMENT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ILLICIUM VERUM FRUIT/SEED OIL,SEBUM_REGULATION,reduces,cosing_function,0.0,0
ADANSONIA DIGITATA OIL,HYDRATING,improves,cosing_function,0.0,0
ADANSONIA DIGITATA OIL,BARRIER_REPAIR,improves,cosing_function,0.0,0
POLYGLYCERIN-20,ANTIMICROBIAL,reduces,cosing_function,0.0,0
POLYGLYCERIN-20,HYDRATING,improves,cosing_function,0.0,0
POLYGLYCERIN-20,MOISTURE_RETENTION,improves,cosing_function,0.0,0
PRUNUS CERASUS JUICE,HYDRATING,improves,cosing_function,0.0,0
PRUNUS CERASUS JUICE,BARRIER_REPAIR,improves,cosing_function,0.0,0
HYDROLYZED SERICIN,HYDRATING,improves,cosing_function,0.0,0
HYDROLYZED SERICIN,BARRIER_REPAIR,improves,cosing_function,0.0,0
LOTUS JAPONICUS SOMATIC EMBRYO EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
LOTUS JAPONICUS SOMATIC EMBRYO EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
JUNIPERUS COMMUNIS BRANCH/FRUIT/LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
JUNIPERUS COMMUNIS BRANCH/FRUIT/LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
PUERARIA LOBATA FLOWER EXTRACT,HYDRATING,improves,cosing_function,0.0,0
PUERARIA LOBATA FLOWER EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ARNICA MONTANA FLOWER,HYDRATING,improves,cosing_function,0.0,0
ARNICA MONTANA FLOWER,BARRIER_REPAIR,improves,cosing_function,0.0,0
ACHILLEA MILLEFOLIUM FLOWER/LEAF/STEM JUICE,HYDRATING,improves,cosing_function,0.0,0
ACHILLEA MILLEFOLIUM FLOWER/LEAF/STEM JUICE,BARRIER_REPAIR,improves,cosing_function,0.0,0
SYMPHYTUM OFFICINALE ROOT CELL EXTRACT,HYDRATING,improves,cosing_function,0.0,0
SYMPHYTUM OFFICINALE ROOT CELL EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
SCHISANDRA CHINENSIS CALLUS EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
SCHISANDRA CHINENSIS CALLUS EXTRACT,SOOTHING,improves,cosing_function,0.0,0
ELAEIS GUINEENSIS BUTTER,HYDRATING,improves,cosing_function,0.0,0
ELAEIS GUINEENSIS BUTTER,BARRIER_REPAIR,improves,cosing_function,0.0,0
ANTHYLLIS VULNERARIA EXTRACT,HYDRATING,improves,cosing_function,0.0,0
ANTHYLLIS VULNERARIA EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
HYDROGENATED RICE BRAN OIL,HYDRATING,improves,cosing_function,0.0,0
HYDROGENATED RICE BRAN OIL,BARRIER_REPAIR,improves,cosing_function,0.0,0
CYCLOHEXYLGLYCERIN,HYDRATING,improves,cosing_function,0.0,0
CYCLOHEXYLGLYCERIN,MOISTURE_RETENTION,improves,cosing_function,0.0,0
CEDRUS DEODARA WOOD EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CEDRUS DEODARA WOOD EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
DIOSCOREA BATATAS EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
DIOSCOREA BATATAS EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
DIOSCOREA BATATAS EXTRACT,SEBUM_REGULATION,reduces,cosing_function,0.0,0
DIOSCOREA BATATAS EXTRACT,HYDRATING,improves,cosing_function,0.0,0
DIOSCOREA BATATAS EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ROSA DAMASCENA BUD EXTRACT,HYDRATING,improves,cosing_function,0.0,0
ROSA DAMASCENA BUD EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ZYMOMONAS FERMENT EXTRACT,HYDRATING,improves,cosing_function,0.0,0
ZYMOMONAS FERMENT EXTRACT,MOISTURE_RETENTION,improves,cosing_function,0.0,0
ZYMOMONAS FERMENT EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ZANTHOXYLUM PIPERITUM BRANCH/LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
ZANTHOXYLUM PIPERITUM BRANCH/LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
DEFATTED RICE BRAN EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
DEFATTED RICE BRAN EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
ALBATRELLUS CONFLUENS EXTRACT,HYDRATING,improves,cosing_function,0.0,0
ALBATRELLUS CONFLUENS EXTRACT,MOISTURE_RETENTION,improves,cosing_function,0.0,0
ALBATRELLUS CONFLUENS EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
COLLOIDAL PLATINUM,ANTIMICROBIAL,reduces,cosing_function,0.0,0
COLLOIDAL PLATINUM,ANTIOXIDANT,improves,cosing_function,0.0,0
COLLOIDAL PLATINUM,ANTI_AGING,improves,cosing_function,0.0,0
OCIMUM TENUIFLORUM OIL,HYDRATING,improves,cosing_function,0.0,0
OCIMUM TENUIFLORUM OIL,BARRIER_REPAIR,improves,cosing_function,0.0,0
POLYMNIA SONCHIFOLIA ROOT EXTRACT,HYDRATING,improves,cosing_function,0.0,0
POLYMNIA SONCHIFOLIA ROOT EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
CERAMIDE AP,HYDRATING,improves,cosing_function,0.0,0
CERAMIDE AP,BARRIER_REPAIR,improves,cosing_function,0.0,0
GELIDIUM AMANSII EXTRACT,HYDRATING,improves,cosing_function,0.0,0
GELIDIUM AMANSII EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
CENTELLA ASIATICA FLOWER/LEAF/STEM EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CENTELLA ASIATICA FLOWER/LEAF/STEM EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
OLEA EUROPAEA LEAF CELL EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
OLEA EUROPAEA LEAF CELL EXTRACT,SOOTHING,improves,cosing_function,0.0,0
PENTAPEPTIDE-18,HYDRATING,improves,cosing_function,0.0,0
PENTAPEPTIDE-18,BARRIER_REPAIR,improves,cosing_function,0.0,0
SESBANIA GRANDIFLORA FLOWER EXTRACT,HYDRATING,improves,cosing_function,0.0,0
SESBANIA GRANDIFLORA FLOWER EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
MORINGA OLEIFERA BARK EXTRACT,HYDRATING,improves,cosing_function,0.0,0
MORINGA OLEIFERA BARK EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
AVERRHOA CARAMBOLA LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
AVERRHOA CARAMBOLA LEAF EXTRACT,MOISTURE_RETENTION,improves,cosing_function,0.0,0
AVERRHOA CARAMBOLA LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ERYNGIUM MARITIMUM EXTRACT,SEBUM_REGULATION,reduces,cosing_function,0.0,0
BOMBYX MORI EXTRACT,HYDRATING,improves,cosing_function,0.0,0
BOMBYX MORI EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
PALMITOYL OLIGOPEPTIDE-70,HYDRATING,improves,cosing_function,0.0,0
PALMITOYL OLIGOPEPTIDE-70,BARRIER_REPAIR,improves,cosing_function,0.0,0
CITRUS MADURENSIS FRUIT JUICE,HYDRATING,improves,cosing_function,0.0,0
CITRUS MADURENSIS FRUIT JUICE,BARRIER_REPAIR,improves,cosing_function,0.0,0
ERIOBOTRYA JAPONICA LEAF POWDER,HYDRATING,improves,cosing_function,0.0,0
ERIOBOTRYA JAPONICA LEAF POWDER,MOISTURE_RETENTION,improves,cosing_function,0.0,0
RIBES NIGRUM BUD EXTRACT,HYDRATING,improves,cosing_function,0.0,0
RIBES NIGRUM BUD EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
PEG/PPG-14/7 DIMETHYL ETHER,HYDRATING,improves,cosing_function,0.0,0
PEG/PPG-14/7 DIMETHYL ETHER,BARRIER_REPAIR,improves,cosing_function,0.0,0
JUGLANS REGIA LEAF EXTRACT,SEBUM_REGULATION,reduces,cosing_function,0.0,0
JUGLANS REGIA LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
JUGLANS REGIA LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
JUGLANS REGIA LEAF EXTRACT,SOOTHING,reduces,cosing_function,0.0,0
JUGLANS REGIA LEAF EXTRACT,ANTI_INFLAMMATORY,reduces,cosing_function,0.0,0
CUCURBITA PEPO,HYDRATING,improves,cosing_function,0.0,0
CUCURBITA PEPO,BARRIER_REPAIR,improves,cosing_function,0.0,0
COFFEA ARABICA LEAF CELL EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
COFFEA ARABICA LEAF CELL EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
CINCHONA PUBESCENS BARK EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CINCHONA PUBESCENS BARK EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
CUCUMIS SATIVUS EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CUCUMIS SATIVUS EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
KUMMEROWIA STRIATA EXTRACT,HYDRATING,improves,cosing_function,0.0,0
KUMMEROWIA STRIATA EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ADANSONIA DIGITATA SEED EXTRACT,HYDRATING,improves,cosing_function,0.0,0
ADANSONIA DIGITATA SEED EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
HOUTTUYNIA CORDATA EXTRACT,HYDRATING,improves,cosing_function,0.0,0
HOUTTUYNIA CORDATA EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ARCTIUM LAPPA SEED WATER,HYDRATING,improves,cosing_function,0.0,0
ARCTIUM LAPPA SEED WATER,BARRIER_REPAIR,improves,cosing_function,0.0,0
GLYCYRRHIZA GLABRA RHIZOME/ROOT EXTRACT,HYDRATING,improves,cosing_function,0.0,0
GLYCYRRHIZA GLABRA RHIZOME/ROOT EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
CITRUS AUSTRALASICA FRUIT EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
CITRUS AUSTRALASICA FRUIT EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
CITRUS AUSTRALASICA FRUIT EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CITRUS AUSTRALASICA FRUIT EXTRACT,MOISTURE_RETENTION,improves,cosing_function,0.0,0
CITRUS AUSTRALASICA FRUIT EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
DAUCUS CAROTA SATIVA CALLUS CULTURE EXTRACT,HYDRATING,improves,cosing_function,0.0,0
DAUCUS CAROTA SATIVA CALLUS CULTURE EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
PRUNUS AVIUM FLOWER WATER,HYDRATING,improves,cosing_function,0.0,0
PRUNUS AVIUM FLOWER WATER,BARRIER_REPAIR,improves,cosing_function,0.0,0
HYDROLYZED ALOE BARBADENSIS LEAF JUICE,HYDRATING,improves,cosing_function,0.0,0
HYDROLYZED ALOE BARBADENSIS LEAF JUICE,BARRIER_REPAIR,improves,cosing_function,0.0,0
BAROSMA BETULINA LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
BAROSMA BETULINA LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
MORUS ALBA STEM EXTRACT,HYDRATING,improves,cosing_function,0.0,0
MORUS ALBA STEM EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
CARTHAMUS TINCTORIUS LEAF EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
CARTHAMUS TINCTORIUS LEAF EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
ARONIA MELANOCARPA FRUIT EXTRACT,HYDRATING,improves,cosing_function,0.0,0
ARONIA MELANOCARPA FRUIT EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ACETYL HEXAPEPTIDE-8,MOISTURE_RETENTION,improves,cosing_function,0.0,0
ACETYL HEXAPEPTIDE-8,BARRIER_REPAIR,improves,cosing_function,0.0,0
ZINGIBER OFFICINALE RHIZOME EXTRACT,ANTIMICROBIAL,reduces,cosing_function,0.0,0
SACCHAROMYCES/RICE BRAN FERMENT FILTRATE EXTRACT,HYDRATING,improves,cosing_function,0.0,0
SACCHAROMYCES/RICE BRAN FERMENT FILTRATE EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
CYNARA SCOLYMUS BUD EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CYNARA SCOLYMUS BUD EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
CUCUMIS MELO CANTALUPENSIS FRUIT EXTRACT,SEBUM_REGULATION,reduces,cosing_function,0.0,0
CUCUMIS MELO CANTALUPENSIS FRUIT EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CUCUMIS MELO CANTALUPENSIS FRUIT EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
SACCHAROMYCES/CAMELLIA SINENSIS LEAF FERMENT FILTRATE,HYDRATING,improves,cosing_function,0.0,0
SACCHAROMYCES/CAMELLIA SINENSIS LEAF FERMENT FILTRATE,BARRIER_REPAIR,improves,cosing_function,0.0,0
CHLORELLA EMERSONII EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CHLORELLA EMERSONII EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
INDIGOFERA TINCTORIA LEAF POWDER,HYDRATING,improves,cosing_function,0.0,0
INDIGOFERA TINCTORIA LEAF POWDER,BARRIER_REPAIR,improves,cosing_function,0.0,0
POLYGONUM MULTIFLORUM EXTRACT,HYDRATING,improves,cosing_function,0.0,0
POLYGONUM MULTIFLORUM EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
COIX LACRYMA-JOBI MA-YUEN SHELL EXTRACT,HYDRATING,improves,cosing_function,0.0,0
COIX LACRYMA-JOBI MA-YUEN SHELL EXTRACT,MOISTURE_RETENTION,improves,cosing_function,0.0,0
FRAXINUS EXCELSIOR BARK EXTRACT,HYDRATING,improves,cosing_function,0.0,0
FRAXINUS EXCELSIOR BARK EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
LYCIUM BARBARUM SEED OIL,HYDRATING,improves,cosing_function,0.0,0
LYCIUM BARBARUM SEED OIL,BARRIER_REPAIR,improves,cosing_function,0.0,0
TARAXACUM OFFICINALE LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
TARAXACUM OFFICINALE LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
NYMPHAEA TETRAGONA EXTRACT,HYDRATING,improves,cosing_function,0.0,0
NYMPHAEA TETRAGONA EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
CHRYSANTHEMUM PARTHENIUM FLOWER EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CHRYSANTHEMUM PARTHENIUM FLOWER EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ORIGANUM VULGARE LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
ORIGANUM VULGARE LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
BIOTIN/FOLIC ACID/CYANOCOBALAMIN/NIACINAMIDE/PANTOTHENIC ACID/PYRIDOXINE/RIBOFLAVIN/THIAMINE/YEAST POLYPEPTIDES,HYDRATING,improves,cosing_function,0.0,0
BIOTIN/FOLIC ACID/CYANOCOBALAMIN/NIACINAMIDE/PANTOTHENIC ACID/PYRIDOXINE/RIBOFLAVIN/THIAMINE/YEAST POLYPEPTIDES,BARRIER_REPAIR,improves,cosing_function,0.0,0
HONEY EXTRACT,HYDRATING,improves,cosing_function,0.0,0
HONEY EXTRACT,MOISTURE_RETENTION,improves,cosing_function,0.0,0
HYDROLYZED THEOBROMA CACAO SEED BUTTER,HYDRATING,improves,cosing_function,0.0,0
HYDROLYZED THEOBROMA CACAO SEED BUTTER,BARRIER_REPAIR,improves,cosing_function,0.0,0
HEDERA HELIX LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
HEDERA HELIX LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
PLANTAGO MAJOR CALLUS CULTURE EXTRACT,HYDRATING,improves,cosing_function,0.0,0
PLANTAGO MAJOR CALLUS CULTURE EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
HYDRASTIS CANADENSIS POWDER,HYDRATING,improves,cosing_function,0.0,0
HYDRASTIS CANADENSIS POWDER,BARRIER_REPAIR,improves,cosing_function,0.0,0
OLEA EUROPAEA BUD EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
OLEA EUROPAEA BUD EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
OLEA EUROPAEA BUD EXTRACT,HYDRATING,improves,cosing_function,0.0,0
OLEA EUROPAEA BUD EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ARCTIUM MAJUS ROOT WATER,HYDRATING,improves,cosing_function,0.0,0
ARCTIUM MAJUS ROOT WATER,BARRIER_REPAIR,improves,cosing_function,0.0,0
CYMBOPOGON SCHOENANTHUS LEAF POWDER,SEBUM_REGULATION,reduces,cosing_function,0.0,0
CYMBOPOGON SCHOENANTHUS LEAF POWDER,HYDRATING,improves,cosing_function,0.0,0
CYMBOPOGON SCHOENANTHUS LEAF POWDER,BARRIER_REPAIR,improves,cosing_function,0.0,0
HYDROLYZED TAMARINDUS INDICA SEED EXTRACT,HYDRATING,improves,cosing_function,0.0,0
HYDROLYZED TAMARINDUS INDICA SEED EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
CALENDULA OFFICINALIS FLOWER OIL,HYDRATING,improves,cosing_function,0.0,0
CALENDULA OFFICINALIS FLOWER OIL,BARRIER_REPAIR,improves,cosing_function,0.0,0
GLOIOPELTIS FURCATA EXTRACT,HYDRATING,improves,cosing_function,0.0,0
GLOIOPELTIS FURCATA EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
PINUS DENSIFLORA LEAF POWDER,ANTIMICROBIAL,reduces,cosing_function,0.0,0
GLOBULARIA ALYPUM LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
GLOBULARIA ALYPUM LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
BRASSICA OLERACEA ITALICA SPROUT POWDER,HYDRATING,improves,cosing_function,0.0,0
BRASSICA OLERACEA ITALICA SPROUT POWDER,BARRIER_REPAIR,improves,cosing_function,0.0,0
PIPER METHYSTICUM RHIZOME/ROOT EXTRACT,HYDRATING,improves,cosing_function,0.0,0
PIPER METHYSTICUM RHIZOME/ROOT EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ALEURITES MOLUCCANUS BAKOLY SEED OIL,ANTIMICROBIAL,reduces,cosing_function,0.0,0
ALEURITES MOLUCCANUS BAKOLY SEED OIL,HYDRATING,improves,cosing_function,0.0,0
ALEURITES MOLUCCANUS BAKOLY SEED OIL,BARRIER_REPAIR,improves,cosing_function,0.0,0
SOPHORA JAPONICA BUD EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
SOPHORA JAPONICA BUD EXTRACT,SOOTHING,improves,cosing_function,0.0,0
SOPHORA JAPONICA BUD EXTRACT,SOOTHING,reduces,cosing_function,0.0,0
SOPHORA JAPONICA BUD EXTRACT,ANTI_INFLAMMATORY,reduces,cosing_function,0.0,0
LAC,HYDRATING,improves,cosing_function,0.0,0
CENTAURIUM ERYTHRAEA FLOWER EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CENTAURIUM ERYTHRAEA FLOWER EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
"2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE",SEBUM_REGULATION,reduces,cosing_function,0.0,0
EVENING PRIMROSE OIL/PALM OIL AMINOPROPANEDIOL ESTERS,HYDRATING,improves,cosing_function,0.0,0
EVENING PRIMROSE OIL/PALM OIL AMINOPROPANEDIOL ESTERS,BARRIER_REPAIR,improves,cosing_function,0.0,0
