ingredient_id:ID(Ingredient),inci_name,kor_name,cosing_functions:string[]
SYNTHETIC BEESWAX,SYNTHETIC BEESWAX,합성비즈왁스,BINDING;EMULSION STABILISING;VISCOSITY CONTROLLING
ECKLONIA STOLONIFERA EXTRACT,ECKLONIA STOLONIFERA EXTRACT,곰피추출물,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING - HUMECTANT
CERA MICROCRISTALLINA,CERA MICROCRISTALLINA,마이크로크리스탈린왁스,BINDING;EMULSION STABILISING;OPACIFYING;VISCOSITY CONTROLLING
SARCOSINE,SARCOSINE,사코신,SKIN CONDITIONING
BETA VULGARIS ROOT EXTRACT,BETA VULGARIS ROOT EXTRACT,사탕무뿌리추출물,SKIN CONDITIONING
AGAR,AGAR,아가,BINDING;FRAGRANCE;VISCOSITY CONTROLLING
ACETYL TETRAPEPTIDE-3,ACETYL TETRAPEPTIDE-3,아세틸테트라펩타이드-3,SKIN PROTECTING
ASCORBYL PALMITATE,ASCORBYL PALMITATE,아스코빌팔미테이트,ANTIOXIDANT;FRAGRANCE
BRASSICA OLERACEA CAPITATA JUICE,BRASSICA OLERACEA CAPITATA JUICE,양배추즙,SKIN CONDITIONING
LONICERA JAPONICA FLOWER EXTRACT,LONICERA JAPONICA FLOWER EXTRACT,인동덩굴꽃추출물,SKIN CONDITIONING
PAEONIA LACTIFLORA ROOT EXTRACT,PAEONIA LACTIFLORA ROOT EXTRACT,작약뿌리추출물,SKIN CONDITIONING
CARAMEL,CARAMEL,카라멜,COLORANT;FRAGRANCE
VACCINIUM MACROCARPON FRUIT EXTRACT,VACCINIUM MACROCARPON FRUIT EXTRACT,크랜베리추출물,ASTRINGENT
MENTHA PIPERITA LEAF EXTRACT,MENTHA PIPERITA LEAF EXTRACT,페퍼민트줄기추출물,SKIN CONDITIONING
PEG-7 GLYCERYL COCOATE,PEG-7 GLYCERYL COCOATE,피이지-7글리세릴코코에이트,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING
HYDROLYZED DNA,HYDROLYZED DNA,하이드롤라이즈드디엔에이,HAIR CONDITIONING;SKIN CONDITIONING
C12-15 ALKYL BENZOATE,C12-15 ALKYL BENZOATE,C12-15알킬벤조에이트,ANTIMICROBIAL;SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING
LEPIDIUM MEYENII ROOT EXTRACT,LEPIDIUM MEYENII ROOT EXTRACT,마카뿌리추출물,SKIN CONDITIONING
MANNOSE,MANNOSE,만노오스,HUMECTANT
FRAGARIA CHILOENSIS FRUIT EXTRACT,FRAGARIA CHILOENSIS FRUIT EXTRACT,비치스트로베리추출물,SKIN CONDITIONING
ARTEMISIA CAPILLARIS EXTRACT,ARTEMISIA CAPILLARIS EXTRACT,사철쑥추출물,
CERAMIDE NG,CERAMIDE NG,세라마이드엔지,SKIN CONDITIONING - MISCELLANEOUS
SODIUM SURFACTIN,SODIUM SURFACTIN,소듐서팩틴,CLEANSING;SURFACTANT - EMULSIFYING;GEL FORMING;SURFACTANT - CLEANSING
ACACIA SENEGAL GUM,ACACIA SENEGAL GUM,아라비아고무나무검,FILM FORMING;FRAGRANCE
ANANAS SATIVUS FRUIT EXTRACT,ANANAS SATIVUS FRUIT EXTRACT,얼룩파인애플추출물,SKIN CONDITIONING
XYLOSE,XYLOSE,자일로오스,HUMECTANT;FRAGRANCE;SKIN CONDITIONING
CAPRYLOYL GLYCINE,CAPRYLOYL GLYCINE,카프릴로일글라이신,ANTI-SEBORRHEIC;ANTIMICROBIAL;ANTI-SEBUM;DEODORANT;HAIR CONDITIONING;SURFACTANT - CLEANSING
TRIETHOXYCAPRYLYLSILANE,TRIETHOXYCAPRYLYLSILANE,트라이에톡시카프릴릴실레인,BINDING
ANASTATICA HIEROCHUNTICA EXTRACT,ANASTATICA HIEROCHUNTICA EXTRACT,트루로즈오브예리코추출물,ASTRINGENT;SKIN CONDITIONING
MENTHA PIPERITA FLOWER/LEAF/STEM OIL,MENTHA PIPERITA FLOWER/LEAF/STEM OIL,페퍼민트꽃/잎/줄기오일,SKIN CONDITIONING
HYDROLYZED SOY PROTEIN,HYDROLYZED SOY PROTEIN,하이드롤라이즈드콩단백질,ANTISTATIC;HAIR CONDITIONING;HUMECTANT;SKIN CONDITIONING
T-BUTYL ALCOHOL,T-BUTYL ALCOHOL,t-부틸알코올,DENATURANT;SOLVENT;PERFUMING
LITHOSPERMUM OFFICINALE ROOT EXTRACT,LITHOSPERMUM OFFICINALE ROOT EXTRACT,그롬웰뿌리추출물,SKIN CONDITIONING
DIMETHYL SULFONE,DIMETHYL SULFONE,다이메틸설폰,SOLVENT;VISCOSITY CONTROLLING
BIOSACCHARIDE GUM-2,BIOSACCHARIDE GUM-2,바이오사카라이드검-4,SKIN CONDITIONING
CI 77004,CI 77004,벤토나이트,COLORANT
BUTYLPHENYL METHYLPROPIONAL,BUTYLPHENYL METHYLPROPIONAL,부틸페닐메틸프로피오날,FRAGRANCE;PERFUMING
VINEGAR,VINEGAR,비니거,NOT REPORTED
VINYL DIMETHICONE/METHICONE SILSESQUIOXANE CROSSPOLYMER,VINYL DIMETHICONE/METHICONE SILSESQUIOXANE CROSSPOLYMER,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,VISCOSITY CONTROLLING
ACHILLEA MILLEFOLIUM FLOWER/LEAF/STEM JUICE,ACHILLEA MILLEFOLIUM FLOWER/LEAF/STEM JUICE,서양톱풀꽃/잎/줄기추출물,SKIN CONDITIONING
SODIUM DILAURAMIDOGLUTAMIDE LYSINE,SODIUM DILAURAMIDOGLUTAMIDE LYSINE,소듐다이라우미도글루타미드라이신,HUMECTANT
SODIUM BICARBONATE,SODIUM BICARBONATE,소듐바이카보네이트,ABRASIVE;BUFFERING;DEODORANT;ORAL CARE;SKIN PROTECTING
SUCROSE PALMITATE,SUCROSE PALMITATE,수크로오스팔미테이트,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;SKIN CONDITIONING;SURFACTANT - CLEANSING
MENTHA VIRIDIS EXTRACT,MENTHA VIRIDIS EXTRACT,스피어민트추출물,FRAGRANCE;ORAL CARE
ORYZA SATIVA BRAN WATER,ORYZA SATIVA BRAN WATER,쌀겨수,FRAGRANCE;PERFUMING
SH-POLYPEPTIDE-11,SH-POLYPEPTIDE-11,에스에이치-폴리펩타이드-11,
NELUMBO NUCIFERA CALLUS CULTURE EXTRACT,NELUMBO NUCIFERA CALLUS CULTURE EXTRACT,연꽃추출물,ANTIMICROBIAL;ANTIOXIDANT;HUMECTANT
TETRASODIUM GLUTAMATE DIACETATE,TETRASODIUM GLUTAMATE DIACETATE,테트라소듐글루타메이트다이아세테이트,CHELATING
PEG-10,PEG-10,피이지-45,HUMECTANT;SOLVENT
TRICHOSANTHES KIRILOWII ROOT EXTRACT,TRICHOSANTHES KIRILOWII ROOT EXTRACT,하늘타리뿌리추출물,SKIN CONDITIONING - MISCELLANEOUS
HELIANTHUS ANNUUS SEED OIL UNSAPONIFIABLES,HELIANTHUS ANNUUS SEED OIL UNSAPONIFIABLES,해바라기씨오일불검화물,HAIR CONDITIONING;SKIN CONDITIONING - MISCELLANEOUS
SACCHAROMYCES/POTATO EXTRACT FERMENT FILTRATE,SACCHAROMYCES/POTATO EXTRACT FERMENT FILTRATE,효모/감자추출물발효여과물,HUMECTANT
SACCHAROMYCES/BARLEY SEED FERMENT FILTRATE,SACCHAROMYCES/BARLEY SEED FERMENT FILTRATE,효모/보리씨발효여과물,HUMECTANT
CI 77499,CI 77499,페러스옥사이드,COLORANT
GLYCYRRHIZA GLABRA RHIZOME/ROOT,GLYCYRRHIZA GLABRA RHIZOME/ROOT,감초뿌리추출물,SKIN CONDITIONING - EMOLLIENT;MOISTURISING;SMOOTHING;SOOTHING
GLYCOPROTEINS,GLYCOPROTEINS,유청단백질,HAIR CONDITIONING;SKIN CONDITIONING
DIPOTASSIUM PHOSPHATE,DIPOTASSIUM PHOSPHATE,다이포타슘포스페이트,ANTICORROSIVE;BUFFERING
MENADIONE,MENADIONE,메나다이온,FRAGRANCE
METHYL METHACRYLATE CROSSPOLYMER,METHYL METHACRYLATE CROSSPOLYMER,메틸메타크릴레이트크로스폴리머,FILM FORMING
CYCLODEXTRIN,CYCLODEXTRIN,사이클로덱스트린,ABSORBENT;CHELATING
SACCHARIDE HYDROLYSATE,SACCHARIDE HYDROLYSATE,사카라이드하이드롤리세이트,HUMECTANT
SCLEROTIUM GUM,SCLEROTIUM GUM,스클레로튬검,EMULSION STABILISING;SKIN CONDITIONING;VISCOSITY CONTROLLING
MENTHA VIRIDIS LEAF OIL,MENTHA VIRIDIS LEAF OIL,스피어민트잎오일,ASTRINGENT;FRAGRANCE;SKIN CONDITIONING
SPHINGOMONAS FERMENT EXTRACT,SPHINGOMONAS FERMENT EXTRACT,스핑고모나스발효추출물,SKIN CONDITIONING
RICE FERMENT FILTRATE,RICE FERMENT FILTRATE,쌀발효여과물,SKIN CONDITIONING
PERSEA GRATISSIMA FRUIT EXTRACT,PERSEA GRATISSIMA FRUIT EXTRACT,아보카도열매추출물,SKIN CONDITIONING - EMOLLIENT;MOISTURISING;SKIN CONDITIONING;SMOOTHING;SOOTHING
ALGIN,ALGIN,알진,BINDING;FRAGRANCE;VISCOSITY CONTROLLING
ENANTIA CHLORANTHA BARK EXTRACT,ENANTIA CHLORANTHA BARK EXTRACT,에난티아 클로란타껍질추출물,SKIN CONDITIONING
ARCTIUM LAPPA SEED WATER,ARCTIUM LAPPA SEED WATER,우엉씨수,SKIN CONDITIONING
PHELLINUS LINTEUS EXTRACT,PHELLINUS LINTEUS EXTRACT,진흙버섯추출물,SKIN CONDITIONING
PIPER METHYSTICUM RHIZOME/ROOT EXTRACT,PIPER METHYSTICUM RHIZOME/ROOT EXTRACT,카바카바뿌리줄기/뿌리추출물,SKIN CONDITIONING
COLLAGEN AMINO ACIDS,COLLAGEN AMINO ACIDS,콜라겐아미노산,HAIR CONDITIONING;SKIN CONDITIONING - MISCELLANEOUS
TRIETHANOLAMINE,TRIETHANOLAMINE,트라이에탄올아민,BUFFERING;SURFACTANT - EMULSIFYING;FRAGRANCE;SURFACTANT - CLEANSING
TRIETHYL CITRATE,TRIETHYL CITRATE,트라이에틸시트레이트,FRAGRANCE;PLASTICISER;SOLVENT;VISCOSITY CONTROLLING;PERFUMING;DEODORANT
HYDROLYZED VIOLA TRICOLOR EXTRACT,HYDROLYZED VIOLA TRICOLOR EXTRACT,하이드롤라이즈드삼색제비꽃추출물,SKIN PROTECTING
GLYCERYL OLEATE,GLYCERYL OLEATE,글리세릴올리에이트,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;PERFUMING
DISODIUM COCOYL GLUTAMATE,DISODIUM COCOYL GLUTAMATE,다이소듐코코일글루타메이트,CLEANSING;SURFACTANT - CLEANSING
DIPHENYLSILOXY PHENYL TRIMETHICONE,DIPHENYLSILOXY PHENYL TRIMETHICONE,다이페닐실록시페닐트라이메티콘,ANTIFOAMING;HAIR CONDITIONING;SKIN CONDITIONING
MAGNESIUM CHLORIDE,MAGNESIUM CHLORIDE,마그네슘클로라이드,VISCOSITY CONTROLLING;FLAVOURING
CITRUS AURANTIUM BERGAMIA LEAF EXTRACT,CITRUS AURANTIUM BERGAMIA LEAF EXTRACT,베르가모트껍질오일,ASTRINGENT
FICUS INDICA BARK,FICUS INDICA BARK,보검선인장열매수,SKIN CONDITIONING
LAMINARIA SACCHARINA EXTRACT,LAMINARIA SACCHARINA EXTRACT,슈가켈프추출물,SKIN PROTECTING
ZEA MAYS KERNEL EXTRACT,ZEA MAYS KERNEL EXTRACT,옥수수커넬추출물,BINDING;BULKING
OCTANEDIOL,OCTANEDIOL,옥탄다이올,PLASTICISER
CI 14700,CI 14700,적색504호,COLORANT
CASTOR OIL/IPDI COPOLYMER,CASTOR OIL/IPDI COPOLYMER,캐스터오일/아이피디아이코폴리머,FILM FORMING
MENTHA ARVENSIS LEAF EXTRACT,MENTHA ARVENSIS LEAF EXTRACT,콘민트잎/줄기오일,FRAGRANCE;REFRESHING
PENTAPEPTIDE-3,PENTAPEPTIDE-3,펜타펩타이드-3,SKIN CONDITIONING
POLYETHYLENE,POLYETHYLENE,폴리에틸렌,ABRASIVE;FILM FORMING;VISCOSITY CONTROLLING
PVP,PVP,피브이피,ANTISTATIC;BINDING;EMULSION STABILISING;FILM FORMING;HAIR FIXING;VISCOSITY CONTROLLING
PHYTOSTERYL/OCTYLDODECYL LAUROYL GLUTAMATE,PHYTOSTERYL/OCTYLDODECYL LAUROYL GLUTAMATE,피토스테릴/옥틸도데실라우로일글루타메이트,SKIN CONDITIONING
PHYTOSTERYL/ISOSTEARYL/CETYL/STEARYL/BEHENYL DIMER DILINOLEATE,PHYTOSTERYL/ISOSTEARYL/CETYL/STEARYL/BEHENYL DIMER DILINOLEATE,피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트,HAIR CONDITIONING;SKIN CONDITIONING;VISCOSITY CONTROLLING
HYDROLYZED MALT EXTRACT,HYDROLYZED MALT EXTRACT,하이드롤라이즈드맥아추출물,SKIN CONDITIONING
LAMINARIA DIGITATA EXTRACT,LAMINARIA DIGITATA EXTRACT,호스테일켈프추출물,SKIN PROTECTING
HIBISCUS SABDARIFFA CALLUS EXTRACT,HIBISCUS SABDARIFFA CALLUS EXTRACT,히비스커스열매추출물,ANTIOXIDANT;SKIN CONDITIONING
SOPHORA FLAVESCENS ROOT EXTRACT,SOPHORA FLAVESCENS ROOT EXTRACT,고삼뿌리추출물,ANTIOXIDANT;SKIN CONDITIONING
LYCIUM CHINENSE FRUIT EXTRACT,LYCIUM CHINENSE FRUIT EXTRACT,구기자추출물,ANTIOXIDANT
DIPEPTIDE-2,DIPEPTIDE-2,다이펩타이드-82,SKIN CONDITIONING
MELISSA OFFICINALIS FLOWER/LEAF/STEM WATER,MELISSA OFFICINALIS FLOWER/LEAF/STEM WATER,레몬밤꽃/잎/줄기수,SKIN CONDITIONING
CHAMOMILLA RECUTITA FLOWER WATER,CHAMOMILLA RECUTITA FLOWER WATER,마트리카리아꽃수,FRAGRANCE
MUSA PARADISIACA FRUIT,MUSA PARADISIACA FRUIT,바나나껍질추출물,ASTRINGENT
BROMELAIN,BROMELAIN,브로멜라인,KERATOLYTIC;SKIN CONDITIONING
TARAXACUM OFFICINALE LEAF EXTRACT,TARAXACUM OFFICINALE LEAF EXTRACT,서양민들레꽃/잎/줄기추출물,SKIN CONDITIONING
SORBITAN LAURATE,SORBITAN LAURATE,솔비탄라우레이트,SURFACTANT - EMULSIFYING
ORYZA SATIVA POWDER,ORYZA SATIVA POWDER,쌀가루,BULKING
CARNITINE,CARNITINE,카르니틴,ANTISTATIC;CLEANSING;SURFACTANT - FOAM BOOSTING;HAIR CONDITIONING;SKIN CONDITIONING;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING
COLLAGEN WATER,COLLAGEN WATER,콜라겐수,HUMECTANT;SKIN CONDITIONING;SOLVENT;VISCOSITY CONTROLLING
COUMARIN,COUMARIN,쿠마린,PERFUMING
TRIDECETH-12,TRIDECETH-12,트라이데세스-11,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING
FARNESOL,FARNESOL,파네솔,DEODORANT;PERFUMING
POTASSIUM LAURATE,POTASSIUM LAURATE,포타슘라우레이트,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING
POLYGLYCERYL-6 DICAPRATE,POLYGLYCERYL-6 DICAPRATE,폴리글리세릴-6다이카프레이트,SURFACTANT - EMULSIFYING
PYRIDOXINE HCL,PYRIDOXINE HCL,피리독신에이치씨엘,ANTISTATIC;HAIR CONDITIONING;SKIN CONDITIONING
HYDROXYDECYL UBIQUINONE,HYDROXYDECYL UBIQUINONE,하이드록시데실유비퀴논,ANTIOXIDANT
HYDROXYPINACOLONE RETINOATE,HYDROXYPINACOLONE RETINOATE,하이드록시피나콜론레티노에이트,SKIN CONDITIONING
PHELLODENDRON AMURENSE BARK,PHELLODENDRON AMURENSE BARK,황벽나무껍질추출물,ABRASIVE;TONIC
FERULA GALBANIFLUA RESIN OIL,FERULA GALBANIFLUA RESIN OIL,갈바눔수지오일,ANTIMICROBIAL;TONIC;PERFUMING
ROSA DAMASCENA FLOWER EXTRACT,ROSA DAMASCENA FLOWER EXTRACT,다마스크장미꽃추출물,FRAGRANCE;TONIC
DEHYDROACETIC ACID,DEHYDROACETIC ACID,데하이드로아세틱애씨드,PRESERVATIVE
TRITICUM AESTIVUM LEAF EXTRACT,TRITICUM AESTIVUM LEAF EXTRACT,밀추출물,ANTIOXIDANT
CAULERPA LENTILLIFERA EXTRACT,CAULERPA LENTILLIFERA EXTRACT,바다포도추출물,FILM FORMING
BACILLUS FERMENT,BACILLUS FERMENT,바실러스발효물,SKIN CONDITIONING
AMYRIS BALSAMIFERA BARK OIL,AMYRIS BALSAMIFERA BARK OIL,발삼아미리스껍질오일,FRAGRANCE;PERFUMING
PRUNUS PERSICA BUD EXTRACT,PRUNUS PERSICA BUD EXTRACT,복사나무싹추출물,HUMECTANT
ASCOPHYLLUM NODOSUM/FUCUS VESICULOSUS EXTRACT,ASCOPHYLLUM NODOSUM/FUCUS VESICULOSUS EXTRACT,블래더랙추출물,HUMECTANT;SKIN CONDITIONING
VITREOSCILLA FERMENT,VITREOSCILLA FERMENT,비트레오스실라발효물,SKIN CONDITIONING
SODIUM ACETATE,SODIUM ACETATE,소듐아세테이트,BUFFERING;FRAGRANCE
PERILLA FRUTESCENS LEAF EXTRACT,PERILLA FRUTESCENS LEAF EXTRACT,소엽잎추출물,FRAGRANCE;SKIN CONDITIONING
ACETYL GLUTAMINE,ACETYL GLUTAMINE,아세틸글루타민,SKIN CONDITIONING
ACETYL TETRAPEPTIDE-11,ACETYL TETRAPEPTIDE-11,아세틸테트라펩타이드-11,SKIN CONDITIONING
ASCORBIC ACID/ORANGE/CITRUS LIMON/CITRUS AURANTIFOLIA POLYPEPTIDES,ASCORBIC ACID/ORANGE/CITRUS LIMON/CITRUS AURANTIFOLIA POLYPEPTIDES,아스코빅애씨드/오렌지/레몬/라임폴리펩타이드,SKIN CONDITIONING
CEDRUS ATLANTICA BARK OIL,CEDRUS ATLANTICA BARK OIL,아틀라스시다목부오일,FRAGRANCE;SKIN CONDITIONING;PERFUMING
CLADOSIPHON OKAMURANUS EXTRACT,CLADOSIPHON OKAMURANUS EXTRACT,오카무라큰실말추출물,SKIN CONDITIONING
EUGENOL,EUGENOL,유제놀,DENATURANT;TONIC;PERFUMING
SALICORNIA HERBACEA EXTRACT,SALICORNIA HERBACEA EXTRACT,퉁퉁마디추출물,SKIN CONDITIONING
TRIPROPYLENE GLYCOL,TRIPROPYLENE GLYCOL,트라이프로필렌글라이콜,ANTIOXIDANT;EMULSION STABILISING;HUMECTANT
PHENETHYL ALCOHOL,PHENETHYL ALCOHOL,페네틸알코올,FRAGRANCE
PEG-10 ISOSTEARATE,PEG-10 ISOSTEARATE,피이지-4아이소스테아레이트,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING
TREMELLA FUCIFORMIS EXTRACT,TREMELLA FUCIFORMIS EXTRACT,흰목이버섯추출물,HUMECTANT;SKIN CONDITIONING
GLYCINE MAX SEED EXTRACT,GLYCINE MAX SEED EXTRACT,검정콩추출물,HAIR CONDITIONING;SKIN CONDITIONING;SKIN PROTECTING
DIMETHICONE CROSSPOLYMER,DIMETHICONE CROSSPOLYMER,다이메티콘크로스폴리머,EMULSION STABILISING;HAIR FIXING;VISCOSITY CONTROLLING
CITRUS AURANTIFOLIA PEEL OIL DISTILLED,CITRUS AURANTIFOLIA PEEL OIL DISTILLED,라임껍질추출물,PERFUMING
RUBUS IDAEUS LEAF CERA,RUBUS IDAEUS LEAF CERA,라즈베리추출물,FRAGRANCE
ROSMARINUS OFFICINALIS LEAF WATER,ROSMARINUS OFFICINALIS LEAF WATER,로즈마리잎수,FRAGRANCE
CHAMOMILLA RECUTITA FLOWER OIL,CHAMOMILLA RECUTITA FLOWER OIL,마트리카리아꽃오일,FRAGRANCE;SKIN CONDITIONING
MALIC ACID,MALIC ACID,말릭애씨드,BUFFERING
METHYLPARABEN,METHYLPARABEN,메틸파라벤,FRAGRANCE;PRESERVATIVE
VANILLA PLANIFOLIA FRUIT WATER,VANILLA PLANIFOLIA FRUIT WATER,바닐라수,SKIN CONDITIONING
ERIOBOTRYA JAPONICA LEAF POWDER,ERIOBOTRYA JAPONICA LEAF POWDER,비파나무열매/잎추출물,HUMECTANT
WATER,WATER,탄산수,ANTIPLAQUE;SKIN CONDITIONING;SOLVENT
ZINGIBER AROMATICUS EXTRACT,ZINGIBER AROMATICUS EXTRACT,생강전초추출물,SKIN CONDITIONING
ACER SACCHARUM EXTRACT,ACER SACCHARUM EXTRACT,설탕단풍추출물,SKIN CONDITIONING
ELETTARIA CARDAMOMUM SEED OIL,ELETTARIA CARDAMOMUM SEED OIL,소두구씨오일,FRAGRANCE;TONIC;PERFUMING
SODIUM COCOYL APPLE AMINO ACIDS,SODIUM COCOYL APPLE AMINO ACIDS,소듐코코일애플아미노산,SURFACTANT - FOAM BOOSTING;HAIR CONDITIONING;SKIN CONDITIONING;SURFACTANT - CLEANSING
OLUS OIL,OLUS OIL,식물성오일,SKIN CONDITIONING - EMOLLIENT
ACETYL HEXAPEPTIDE-1,ACETYL HEXAPEPTIDE-1,아세틸헥사펩타이드-1,SKIN CONDITIONING
SH-POLYPEPTIDE-22,SH-POLYPEPTIDE-22,에스에이치-폴리펩타이드-22,SKIN CONDITIONING
ETHYL HEXANEDIOL,ETHYL HEXANEDIOL,에틸헥산다이올,SOLVENT
GANODERMA LUCIDUM EXTRACT,GANODERMA LUCIDUM EXTRACT,영지버섯추출물,SKIN PROTECTING
ACMELLA OLERACEA EXTRACT,ACMELLA OLERACEA EXTRACT,올레라케아아크멜라추출물,SKIN PROTECTING
OLIGOPEPTIDE-1,OLIGOPEPTIDE-1,올리고펩타이드-1K,SKIN CONDITIONING
INULIN,INULIN,이눌린,SKIN CONDITIONING
REHMANNIA CHINENSIS ROOT EXTRACT,REHMANNIA CHINENSIS ROOT EXTRACT,지황뿌리추출물,SKIN CONDITIONING;TONIC
GLYCYRRHIZA INFLATA ROOT EXTRACT,GLYCYRRHIZA INFLATA ROOT EXTRACT,창과감초뿌리추출물,SKIN CONDITIONING
CNIDIUM OFFICINALE ROOT EXTRACT,CNIDIUM OFFICINALE ROOT EXTRACT,천궁추출물,SKIN CONDITIONING
CAPRYLHYDROXAMIC ACID,CAPRYLHYDROXAMIC ACID,카프릴하이드록사믹애씨드,CHELATING
CI 77288,CI 77288,크로뮴옥사이드그린,COLORANT
CHITOSAN,CHITOSAN,키토산에이치씨엘,FILM FORMING;HAIR FIXING
POLYMETHYL METHACRYLATE,POLYMETHYL METHACRYLATE,폴리메틸메타크릴레이트,FILM FORMING
HYDROGENATED OLIVE OIL UNSAPONIFIABLES,HYDROGENATED OLIVE OIL UNSAPONIFIABLES,하이드로제네이티드올리브오일불검화물,SKIN CONDITIONING - EMOLLIENT;HAIR CONDITIONING;SKIN CONDITIONING
HEXAPEPTIDE-2,HEXAPEPTIDE-2,헥사펩타이드-82,BLEACHING;SKIN CONDITIONING
TUBER MAGNATUM EXTRACT,TUBER MAGNATUM EXTRACT,흰서양송로추출물,SKIN CONDITIONING
C9-12 ALKANE,C9-12 ALKANE,C9-12알케인,SOLVENT
O-CYMEN-5-OL,O-CYMEN-5-OL,o-사이멘-5-올,ANTIMICROBIAL;DEODORANT;PRESERVATIVE
GLYCYRRHETINIC ACID,GLYCYRRHETINIC ACID,글리시레티닉애씨드,SKIN CONDITIONING
DIPENTAERYTHRITYL HEXA C5-9 ACID ESTERS,DIPENTAERYTHRITYL HEXA C5-9 ACID ESTERS,다이펜타에리스리틸헥사C5-9애씨드에스터,HAIR CONDITIONING;PLASTICISER;SKIN CONDITIONING
DEXTRAN,DEXTRAN,덱스트란,BINDING;VISCOSITY CONTROLLING
LACTOBACILLUS/RICE FERMENT,LACTOBACILLUS/RICE FERMENT,락토바실러스/쌀발효물,HAIR CONDITIONING;SKIN CONDITIONING
MENTHA HAPLOCALIX EXTRACT,MENTHA HAPLOCALIX EXTRACT,박하추출물,FRAGRANCE
PYRUS MALUS FRUIT WATER,PYRUS MALUS FRUIT WATER,사과수,FRAGRANCE
CETRIMONIUM BROMIDE,CETRIMONIUM BROMIDE,세트리모늄브로마이드,ANTIMICROBIAL;ANTISTATIC;SURFACTANT - EMULSIFYING;PRESERVATIVE
CETYL PEG/PPG-10/1 DIMETHICONE,CETYL PEG/PPG-10/1 DIMETHICONE,세틸피이지/피피지-10/1다이메티콘,SURFACTANT - EMULSIFYING;SKIN CONDITIONING;SURFACTANT - CLEANSING
SODIUM ACRYLATES COPOLYMER,SODIUM ACRYLATES COPOLYMER,소듐아크릴레이트코폴리머,BINDING;FILM FORMING;OPACIFYING;VISCOSITY CONTROLLING
SPIRULINA PLATENSIS EXTRACT,SPIRULINA PLATENSIS EXTRACT,스피룰리나 플라텐시스추출물,SKIN PROTECTING
ISOSTEARYL ALCOHOL,ISOSTEARYL ALCOHOL,아이소스테아릴알코올,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING;VISCOSITY CONTROLLING
ALUMINUM/MAGNESIUM HYDROXIDE STEARATE,ALUMINUM/MAGNESIUM HYDROXIDE STEARATE,알루미늄/마그네슘하이드록사이드스테아레이트,EMULSION STABILISING;VISCOSITY CONTROLLING
RIBES NIGRUM SEED OIL,RIBES NIGRUM SEED OIL,양까막까치밥나무씨오일,SKIN CONDITIONING - EMOLLIENT
ALLIUM CEPA BULB EXTRACT,ALLIUM CEPA BULB EXTRACT,양파추출물,SKIN CONDITIONING
SH-POLYPEPTIDE-3,SH-POLYPEPTIDE-3,에스에이치-폴리펩타이드-3,SKIN CONDITIONING
NICOTIANA BENTHAMIANA HEXAPEPTIDE-40 SH-POLYPEPTIDE-9,NICOTIANA BENTHAMIANA HEXAPEPTIDE-40 SH-POLYPEPTIDE-9,니코티아나 벤타미아나헥사펩타이드-40에스에이치-폴리펩타이드-9,HAIR CONDITIONING
HIBISCUS ESCULENTUS FRUIT EXTRACT,HIBISCUS ESCULENTUS FRUIT EXTRACT,오크라열매추출물,SKIN CONDITIONING
SESAMUM INDICUM SEED BUTTER,SESAMUM INDICUM SEED BUTTER,참깨씨드케이크추출물,SKIN CONDITIONING - EMOLLIENT
COPPER GLUCONATE,COPPER GLUCONATE,카퍼글루코네이트,SKIN CONDITIONING;SKIN PROTECTING
CANDELILLA CERA,CANDELILLA CERA,칸데릴라왁스,SKIN CONDITIONING - EMOLLIENT;FILM FORMING
COCAMIDOPROPYL HYDROXYSULTAINE,COCAMIDOPROPYL HYDROXYSULTAINE,바바수아미도프로필하이드록시설테인,ANTISTATIC;CLEANSING;SURFACTANT - FOAM BOOSTING;HAIR CONDITIONING;SKIN CONDITIONING;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING
HIZIKIA FUSIFORME EXTRACT,HIZIKIA FUSIFORME EXTRACT,톳추출물,SKIN CONDITIONING
GAULTHERIA PROCUMBENS LEAF EXTRACT,GAULTHERIA PROCUMBENS LEAF EXTRACT,파스향나무꽃/잎/줄기오일,SKIN CONDITIONING;TONIC;PERFUMING
CARDIOSPERMUM HALICACABUM SEED EXTRACT,CARDIOSPERMUM HALICACABUM SEED EXTRACT,풍선덩굴씨추출물,ANTI-SEBORRHEIC;ANTIMICROBIAL;ANTI-SEBUM;SKIN CONDITIONING
PEG-10 DIMETHICONE,PEG-10 DIMETHICONE,피이지-10다이메티콘,HAIR CONDITIONING;SKIN CONDITIONING
